epoch,step,train_loss
0,49,2.2649941444396973
0,99,2.066032886505127
0,149,1.775333285331726
0,199,1.414933443069458
0,249,1.1594221591949463
0,299,0.7964252829551697
0,349,0.9258809089660645
0,399,0.5841870307922363
0,449,0.5815964937210083
0,499,0.4367440640926361
0,549,0.5506770014762878
0,599,0.5695862174034119
0,649,0.49133917689323425
0,699,0.44592711329460144
0,749,0.44894933700561523
1,799,0.4889649450778961
1,849,0.42565491795539856
1,899,0.24421530961990356
1,949,0.39941486716270447
1,999,0.4022221863269806
1,1049,0.43859145045280457
1,1099,0.3793993890285492
1,1149,0.5086904764175415
1,1199,0.40386322140693665
1,1249,0.30855831503868103
1,1299,0.5434902906417847
1,1349,0.4783455729484558
1,1399,0.31086719036102295
1,1449,0.32659226655960083
1,1499,0.3440714180469513
2,1549,0.31951335072517395
2,1599,0.4493861496448517
2,1649,0.4654105603694916
2,1699,0.45204848051071167
2,1749,0.28356003761291504
2,1799,0.5131670236587524
2,1849,0.47745582461357117
2,1899,0.3380521535873413
2,1949,0.26991233229637146
2,1999,0.23253463208675385
2,2049,0.22796641290187836
2,2099,0.4315721392631531
2,2149,0.2575174570083618
2,2199,0.2593877613544464
2,2249,0.24868573248386383
3,2299,0.3531874716281891
3,2349,0.22828935086727142
3,2399,0.31572791934013367
3,2449,0.24776796996593475
3,2499,0.21599307656288147
3,2549,0.24807238578796387
3,2599,0.2908996343612671
3,2649,0.2036813646554947
3,2699,0.437732458114624
3,2749,0.2943020761013031
3,2799,0.35743898153305054
3,2849,0.2536829710006714
3,2899,0.16029736399650574
3,2949,0.17784962058067322
3,2999,0.2392188459634781
4,3049,0.31052908301353455
4,3099,0.14006906747817993
4,3149,0.19837594032287598
4,3199,0.23701709508895874
4,3249,0.32680243253707886
4,3299,0.5541971921920776
4,3349,0.27102288603782654
4,3399,0.3320513665676117
4,3449,0.25408127903938293
4,3499,0.1407862901687622
4,3549,0.2044954150915146
4,3599,0.24603573977947235
4,3649,0.24005348980426788
4,3699,0.3277391493320465
4,3749,0.1225358247756958
5,3799,0.20599636435508728
5,3849,0.3117041289806366
5,3899,0.15346479415893555
5,3949,0.12928825616836548
5,3999,0.1811562478542328
5,4049,0.15323331952095032
5,4099,0.1269337385892868
5,4149,0.17453768849372864
5,4199,0.23633699119091034
5,4249,0.09543000906705856
5,4299,0.2601453959941864
5,4349,0.14309124648571014
5,4399,0.29400116205215454
5,4449,0.11220018565654755
5,4499,0.13228124380111694
6,4549,0.3847639858722687
6,4599,0.1482289433479309
6,4649,0.2527271807193756
6,4699,0.2828543782234192
6,4749,0.4235076308250427
6,4799,0.3211921453475952
6,4849,0.11515352129936218
6,4899,0.3762945830821991
6,4949,0.0800246074795723
6,4999,0.20492520928382874
6,5049,0.20827235281467438
6,5099,0.16993995010852814
6,5149,0.12647414207458496
6,5199,0.11281435191631317
6,5249,0.2628612518310547
7,5299,0.08448679000139236
7,5349,0.27575573325157166
7,5399,0.11166952550411224
7,5449,0.20867156982421875
7,5499,0.23510944843292236
7,5549,0.2196110039949417
7,5599,0.17818668484687805
7,5649,0.1800161600112915
7,5699,0.23682871460914612
7,5749,0.34045636653900146
7,5799,0.0685964822769165
7,5849,0.25399506092071533
7,5899,0.21304985880851746
7,5949,0.2177445888519287
7,5999,0.09288419783115387
8,6049,0.21921513974666595
8,6099,0.14220286905765533
8,6149,0.22896479070186615
8,6199,0.08100491017103195
8,6249,0.09208307415246964
8,6299,0.1184951514005661
8,6349,0.05698259919881821
8,6399,0.27675068378448486
8,6449,0.13616414368152618
8,6499,0.1361052393913269
8,6549,0.1909448653459549
8,6599,0.11504746973514557
8,6649,0.2561245560646057
8,6699,0.14645366370677948
8,6749,0.17379069328308105
9,6799,0.17628847062587738
9,6849,0.21549023687839508
9,6899,0.09664172679185867
9,6949,0.130870521068573
9,6999,0.10818309336900711
9,7049,0.14413626492023468
9,7099,0.14786869287490845
9,7149,0.09984688460826874
9,7199,0.04314405471086502
9,7249,0.0792548730969429
9,7299,0.09450224041938782
9,7349,0.09599421173334122
9,7399,0.1119079664349556
9,7449,0.11246522516012192
9,7499,0.22554905712604523
